City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,78.44,overcast clouds,-23.1203,-134.9692,Pension Maro'i
12,Mataura,NZ,73.74,clear sky,-46.1927,168.8643,Ellie's Villa
13,Kahului,US,77.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
17,Rosarito,MX,77.0,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
26,Cape Town,ZA,71.01,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
32,Sao Joao Da Barra,BR,72.23,heavy intensity rain,-21.6403,-41.0511,Pousada Porto De Canoas
34,Sao Filipe,CV,70.09,scattered clouds,14.8961,-24.4956,Tortuga B&B
40,Mount Isa,AU,75.2,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
45,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
57,Arraial Do Cabo,BR,75.63,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
62,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
69,Ixtapa,MX,75.2,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
74,Vanimo,PG,79.34,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
75,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
76,Bandarbeyla,SO,75.2,few clouds,9.4942,50.8122,JABIR HOTEL
77,Nampula,MZ,75.2,broken clouds,-15.1165,39.2666,Tacab Residencial
79,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,San Patricio,US,75.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
90,Sibolga,ID,74.98,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
93,Kapaa,US,73.4,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
95,East London,ZA,74.59,clear sky,-33.0153,27.9116,Tu Casa
99,Labuhan,ID,77.63,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
101,Padang,ID,71.6,few clouds,-0.9492,100.3543,Mercure Padang
113,Tecuala,MX,78.48,few clouds,22.3986,-105.4569,Hotel y Restaurante Candelaria
132,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
134,Cidreira,BR,70.66,few clouds,-30.1811,-50.2056,Hotel Castelo
135,Road Town,VG,78.01,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
143,Bengkulu,ID,76.35,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
147,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Camp Pālehua
151,Ancud,CL,73.4,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
156,Tuatapere,NZ,70.07,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
163,Pisco,PE,73.4,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
168,Coihaique,CL,77.0,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
169,Buchanan,LR,75.2,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
176,Dzaoudzi,YT,78.8,clear sky,-12.7887,45.2699,Le Rocher
178,Axim,GH,79.86,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
186,Roebourne,AU,78.6,scattered clouds,-20.7833,117.1333,Harding River Caravan Park
187,Capao Da Canoa,BR,72.82,scattered clouds,-29.7456,-50.0097,Hotel Araçá
189,Denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
197,Rio De Janeiro,BR,77.0,overcast clouds,-22.9028,-43.2075,Windsor Guanabara Hotel
202,Siuna,NI,79.95,broken clouds,13.7332,-84.7773,hotel los chinitos
203,Anahuac,MX,77.0,clear sky,27.2333,-100.15,Rancho Guadalupe
211,Carutapera,BR,79.5,broken clouds,-1.195,-46.02,Lidera
213,Liwale,TZ,71.49,moderate rain,-9.7667,37.9333,Samoma Lodge
231,Coahuayana,MX,78.8,clear sky,18.7333,-103.6833,Hotel Los Arcos
233,Sinnamary,GF,77.72,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
254,Ilo,PE,71.02,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
263,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
268,Trincomalee,LK,78.58,scattered clouds,8.5711,81.2335,Welcombe Hotel
270,Kailua,US,78.8,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
272,Mayumba,GA,79.75,overcast clouds,-3.432,10.6554,LIKWALE LODGE
273,Tanete,ID,77.49,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
277,Meulaboh,ID,75.67,broken clouds,4.1363,96.1285,Kost Pria
279,Auki,SB,79.41,light rain,-8.7676,160.7034,Auki Motel
280,Jizan,SA,71.6,clear sky,17.3333,42.6667,شهدان. ابوالحجر
284,Bangkalan,ID,77.0,haze,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
288,Kloulklubed,PW,78.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
292,Sao Miguel Do Araguaia,BR,73.63,light rain,-13.275,-50.1628,Hotel Executivo Palace
300,Diamantino,BR,77.77,scattered clouds,-14.4086,-56.4461,Hotel Delta
304,Banjar,ID,77.0,few clouds,-8.19,114.9675,The Hamsa Resort
307,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
308,Kankon,IN,73.4,broken clouds,15.0167,74.0167,Palolem Beach Resort
309,Bonthe,SL,79.21,broken clouds,7.5264,-12.505,Bonthe Holiday Village
312,Djambala,CG,71.2,moderate rain,-2.5447,14.7533,Hotel Ravin D'or
